ID,Price
1,1000
2,46.5
3,
4,14
5,90
6,530
7,120
8,530
9,180
10,180
11,180
12,530
13,240
14,80
15,240
16,530
17,300
18,530
19,15
20,29
21,230
22,275
23,415
24,250
25,49.5
26,45
27,25.25
28,79
29,38
30,27
31,49
32,53.5
33,60
34,76
35,
36,14
37,
38,110
39,78
40,19
41,45
42,95
43,14
44,475
45,23
46,
47,13.25
48,5
49,23
50,35
51,20
52,5.5
53,5.5
54,27
55,75
56,170
57,13
58,120
59,15
60,189
61,13.5
62,40
63,70
64,25
65,16
66,18
67,
68,25.25
69,16
70,33
71,31.5
72,79
73,10.5
74,75
75,214
76,
77,214
78,65
79,20
80,15
81,69.95
82,5.5
83,47
84,12.75
85,10.55
86,75
87,13.25
88,13.2
89,35
90,12
91,9
92,45
93,61.5
94,63
95,67.5
96,69
97,160
98,45
99,48
100,95
101,105
102,60
103,110
104,63
105,21.6
106,48.75
107,19.25
108,19.25
109,94
110,30
111,28.8
112,14.5
113,
114,
115,203
116,15
117,18
118,27
119,9
120,29
121,45
122,14
123,45
124,
125,65
126,
127,275
128,160
129,34.5
130,12
131,20
132,21
133,16
134,18
135,21
136,40.5
137,39
138,14.51
139,15.6
140,25.2
141,9.75
142,5.75
143,153.5
144,10.5
145,
146,28.5
147,75
148,18
149,35
150,8.5
151,49.5
152,78.5
153,144
154,21
155,24
156,4.25
157,21
158,18
159,15.75
160,6.75
161,24
162,167.5
163,12.75
164,27
165,65
166,20
167,225
168,39
169,228
170,20
171,
172,19.5
173,26.5
174,62
175,44139
176,44
177,4
178,60
179,23.5
180,21
181,15
182,17
183,46.5
184,95
185,75
186,18
187,8.25
188,15.95
189,12
190,
191,5
192,350
193,15.25
194,40
195,9
196,20.5
197,
198,18
199,425
200,75
201,136
202,305
203,170
204,182
205,47
206,13.5
207,76
208,10.5
209,13
210,52.5
211,42
212,5.5
213,5.5
214,19
215,22
216,36
217,96
218,26.5
219,36
220,16
221,9
222,18
223,53
224,17.64
225,
226,
227,27
228,30
229,47
230,45
231,18
232,26.5
233,18
234,9
235,18.18
236,
237,27
238,5
239,214
240,37.5
241,57
242,36
243,21.75
244,825
245,102
246,91.5
247,20.4
248,31.5
249,31.5
250,116.5
251,95
252,16.8
253,24
254,25
255,19
256,20
257,38
258,121
259,14.5
260,10
261,10.5
262,
263,10
264,75
265,10
266,
267,19.5
268,10
269,24
270,475
271,18
272,60
273,42
274,70.5
275,66
276,42
277,120
278,3.5
279,9
280,
281,6.75
282,20
283,22.25
284,33.6
285,45
286,65
287,24
288,275
289,30
290,67.5
291,33.6
292,52
293,76.5
294,3.25
295,
296,29.5
297,24
298,54
299,69
300,79
301,48.5
302,56
303,10
304,16
305,350
306,3.25
307,12
308,3.25
309,54
310,
311,18.5
312,8
313,10
314,15.75
315,12
316,36
317,136.5
318,24
319,125
320,40
321,18.6
322,8
323,15.5
324,21.6
325,
326,89
327,20.5
328,14.5
329,16
330,9
331,
332,13
333,69
334,80
335,111
336,116.5
337,31.2
338,93
339,90
340,150
341,17
342,5.5
343,100
344,25.5
345,5.5
346,
347,25
348,325
349,250
350,12
351,
352,95
